time,open,high,low,close,Volume
2025-05-24T06:45:00+03:00,174.91,175.12,174.39,175.11,21883.123
2025-05-24T07:00:00+03:00,175.11,175.17,174.6,175,16553.444
2025-05-24T07:15:00+03:00,174.99,175.61,174.9,175.42,27699.25
2025-05-24T07:30:00+03:00,175.41,175.76,174.87,175.55,23862.557
2025-05-24T07:45:00+03:00,175.55,176.28,175.43,176.1,26760.001
2025-05-24T08:00:00+03:00,176.09,176.39,175.41,175.44,35849.249
2025-05-24T08:15:00+03:00,175.44,175.46,174.83,175.29,27474.493
2025-05-24T08:30:00+03:00,175.3,175.54,174.72,174.85,14445.25
2025-05-24T08:45:00+03:00,174.86,175.28,174.5,175.18,19815.749
2025-05-24T09:00:00+03:00,175.17,175.5,174.9,175.09,14859.699
2025-05-24T09:15:00+03:00,175.1,175.13,174.56,174.85,14597.839
2025-05-24T09:30:00+03:00,174.85,174.85,173.62,174.3,71775.843
2025-05-24T09:45:00+03:00,174.31,174.58,173.6,174.58,21673.113
2025-05-24T10:00:00+03:00,174.57,175.32,174.57,175.17,15356.366
2025-05-24T10:15:00+03:00,175.17,175.41,174.86,175.16,19678.562
2025-05-24T10:30:00+03:00,175.17,175.17,173.85,174,27488.55
2025-05-24T10:45:00+03:00,174.01,174.07,173.46,173.92,18884.656
2025-05-24T11:00:00+03:00,173.93,174.46,173.75,174.1,21740.038
2025-05-24T11:15:00+03:00,174.11,174.14,173.24,173.4,27654.676
2025-05-24T11:30:00+03:00,173.4,174.23,173.36,174.2,18260.41
2025-05-24T11:45:00+03:00,174.2,175,174.2,174.94,17846.099
2025-05-24T12:00:00+03:00,174.95,175.42,174.76,174.91,27513.967
2025-05-24T12:15:00+03:00,174.91,175.92,174.88,175.58,20658.93
2025-05-24T12:30:00+03:00,175.58,175.84,175.36,175.55,17615.623
2025-05-24T12:45:00+03:00,175.55,175.57,175.01,175.34,25225.701
2025-05-24T13:00:00+03:00,175.33,175.66,175.06,175.14,24037.466
2025-05-24T13:15:00+03:00,175.14,175.83,175.11,175.82,23144.568
2025-05-24T13:30:00+03:00,175.82,176.84,175.79,176.79,55179.301
2025-05-24T13:45:00+03:00,176.8,177.73,176.79,177.41,55396.478
2025-05-24T14:00:00+03:00,177.42,177.98,177.23,177.44,39037.342
2025-05-24T14:15:00+03:00,177.43,177.68,176.85,177.6,55416.371
2025-05-24T14:30:00+03:00,177.6,178.33,177.13,177.14,45209.361
2025-05-24T14:45:00+03:00,177.14,177.48,176.77,176.9,19812.964
2025-05-24T15:00:00+03:00,176.89,177.13,176,176.34,29503.767
2025-05-24T15:15:00+03:00,176.35,177.01,176.18,176.74,23697.007
2025-05-24T15:30:00+03:00,176.73,176.73,176.33,176.43,14025.426
2025-05-24T15:45:00+03:00,176.44,176.78,176.19,176.54,22917.323
2025-05-24T16:00:00+03:00,176.55,176.76,176.07,176.16,28280.233
2025-05-24T16:15:00+03:00,176.17,176.52,175.81,176.5,20270.586
2025-05-24T16:30:00+03:00,176.49,176.5,175.94,176.03,27947.94
2025-05-24T16:45:00+03:00,176.03,176.21,175.05,175.34,41294.577
2025-05-24T17:00:00+03:00,175.34,176.1,175.18,176.09,14338.591
2025-05-24T17:15:00+03:00,176.09,176.52,175.82,175.91,11654.469
2025-05-24T17:30:00+03:00,175.91,176.76,175.84,176.4,11103.325
2025-05-24T17:45:00+03:00,176.4,177,176.4,176.7,17231.933
2025-05-24T18:00:00+03:00,176.71,177.06,176.31,176.85,22996.218
2025-05-24T18:15:00+03:00,176.86,176.86,176.07,176.53,11857.578
2025-05-24T18:30:00+03:00,176.52,176.69,175.97,176.06,22729.918
2025-05-24T18:45:00+03:00,176.06,176.36,175.77,176.31,14143.936
2025-05-24T19:00:00+03:00,176.32,176.42,175.48,175.61,20531.331
2025-05-24T19:15:00+03:00,175.61,176,175.31,175.84,18983.417
2025-05-24T19:30:00+03:00,175.83,176.26,175.67,176.17,18117.969
2025-05-24T19:45:00+03:00,176.17,176.7,176.02,176.38,18238.861
2025-05-24T20:00:00+03:00,176.39,177.41,176.38,177.33,20622.733
2025-05-24T20:15:00+03:00,177.33,177.35,176.51,176.89,17640.854
2025-05-24T20:30:00+03:00,176.89,177.31,176.54,176.97,12740.613
2025-05-24T20:45:00+03:00,176.98,177.45,176.81,176.85,19275.017
2025-05-24T21:00:00+03:00,176.85,177.56,176.8,177.54,13869.084
2025-05-24T21:15:00+03:00,177.54,177.68,177.29,177.37,14557.669
2025-05-24T21:30:00+03:00,177.36,177.37,176.83,177.13,11170.075
2025-05-24T21:45:00+03:00,177.12,177.15,176.72,176.79,10637.36
2025-05-24T22:00:00+03:00,176.79,177.56,176.63,176.94,16575.311
2025-05-24T22:15:00+03:00,176.94,177.09,176.67,176.93,11198.403
2025-05-24T22:30:00+03:00,176.94,177.45,176.91,177.03,12834.994
2025-05-24T22:45:00+03:00,177.04,177.19,176.67,177.14,9182.316
2025-05-24T23:00:00+03:00,177.14,177.43,176.88,177.43,13887.834
2025-05-24T23:15:00+03:00,177.42,177.55,177.11,177.51,7236.399
2025-05-24T23:30:00+03:00,177.51,177.83,177.44,177.55,7518.135
2025-05-24T23:45:00+03:00,177.55,177.91,177.18,177.78,11631.782
2025-05-25T00:00:00+03:00,177.78,177.83,177.16,177.33,9964.41
